step,time_s,KE_J,PE_J,Etot_J
0,0.000000000e+00,4.390767080e-16,-8.021806876e-23,4.390766278e-16
10,1.000000000e-11,4.390767122e-16,-8.120326969e-23,4.390766310e-16
20,2.000000000e-11,4.390767037e-16,-7.529602184e-23,4.390766284e-16
30,3.000000000e-11,4.390766897e-16,-5.881054710e-23,4.390766309e-16
40,4.000000000e-11,4.390766817e-16,-5.205740954e-23,4.390766296e-16
50,5.000000000e-11,4.390766801e-16,-5.070153011e-23,4.390766294e-16
60,6.000000000e-11,4.390767295e-16,-9.890411626e-23,4.390766306e-16
70,7.000000000e-11,4.390766754e-16,-4.569960841e-23,4.390766297e-16
80,8.000000000e-11,4.390766725e-16,-4.369797727e-23,4.390766288e-16
90,9.000000000e-11,4.390766844e-16,-5.702013354e-23,4.390766274e-16
100,1.000000000e-10,4.390767005e-16,-7.054178271e-23,4.390766299e-16
110,1.100000000e-10,4.390767008e-16,-7.145671404e-23,4.390766294e-16
120,1.200000000e-10,4.390767032e-16,-7.554547837e-23,4.390766277e-16
130,1.300000000e-10,4.390767410e-16,-1.158074574e-22,4.390766251e-16
140,1.400000000e-10,4.390767306e-16,-1.014421320e-22,4.390766292e-16
150,1.500000000e-10,4.390767165e-16,-8.717781736e-23,4.390766294e-16
160,1.600000000e-10,4.390767340e-16,-1.051191593e-22,4.390766289e-16
170,1.700000000e-10,4.390767276e-16,-9.679969718e-23,4.390766308e-16
180,1.800000000e-10,4.390767125e-16,-8.318921911e-23,4.390766293e-16
190,1.900000000e-10,4.390767091e-16,-7.979011090e-23,4.390766293e-16
200,2.000000000e-10,4.390767127e-16,-8.451294372e-23,4.390766282e-16
210,2.100000000e-10,4.390767048e-16,-7.527039376e-23,4.390766295e-16
220,2.200000000e-10,4.390767000e-16,-7.076090214e-23,4.390766292e-16
230,2.300000000e-10,4.390766982e-16,-6.899596156e-23,4.390766292e-16
240,2.400000000e-10,4.390766970e-16,-6.699350842e-23,4.390766300e-16
250,2.500000000e-10,4.390767128e-16,-8.902739709e-23,4.390766237e-16
260,2.600000000e-10,4.390765486e-16,-7.865611139e-23,4.390764700e-16
270,2.700000000e-10,4.390765396e-16,-6.991696279e-23,4.390764697e-16
280,2.800000000e-10,4.390765178e-16,-4.763933594e-23,4.390764701e-16
290,2.900000000e-10,4.390765216e-16,-5.353095319e-23,4.390764681e-16
300,3.000000000e-10,4.390765294e-16,-6.028846902e-23,4.390764691e-16
310,3.100000000e-10,4.390765212e-16,-5.126979709e-23,4.390764700e-16
320,3.200000000e-10,4.390764951e-16,-2.591079357e-23,4.390764691e-16
330,3.300000000e-10,4.390765087e-16,-4.058198022e-23,4.390764681e-16
340,3.400000000e-10,4.390765155e-16,-4.672355425e-23,4.390764688e-16
350,3.500000000e-10,4.390765098e-16,-4.020622994e-23,4.390764696e-16
360,3.600000000e-10,4.390765194e-16,-5.091435653e-23,4.390764685e-16
370,3.700000000e-10,4.390765268e-16,-5.793427397e-23,4.390764688e-16
380,3.800000000e-10,4.390765172e-16,-4.750810159e-23,4.390764697e-16
390,3.900000000e-10,4.390765059e-16,-3.726458356e-23,4.390764686e-16
400,4.000000000e-10,4.390765162e-16,-4.792586267e-23,4.390764682e-16
410,4.100000000e-10,4.390765187e-16,-4.939377283e-23,4.390764693e-16
420,4.200000000e-10,4.390765076e-16,-3.828648668e-23,4.390764693e-16
430,4.300000000e-10,4.390765112e-16,-4.291332764e-23,4.390764683e-16
440,4.400000000e-10,4.390765164e-16,-4.688202800e-23,4.390764695e-16
450,4.500000000e-10,4.390765070e-16,-3.814014941e-23,4.390764689e-16
460,4.600000000e-10,4.390765107e-16,-4.137600799e-23,4.390764693e-16
470,4.700000000e-10,4.390765045e-16,-3.559962846e-23,4.390764689e-16
480,4.800000000e-10,4.390764966e-16,-2.745871559e-23,4.390764692e-16
490,4.900000000e-10,4.390764979e-16,-2.876146351e-23,4.390764691e-16
500,5.000000000e-10,4.390764932e-16,-2.415623893e-23,4.390764690e-16
510,5.100000000e-10,4.390764909e-16,-2.148752516e-23,4.390764694e-16
520,5.200000000e-10,4.390764919e-16,-2.459947406e-23,4.390764673e-16
530,5.300000000e-10,4.390764903e-16,-2.092834831e-23,4.390764694e-16
540,5.400000000e-10,4.390764838e-16,-1.491258863e-23,4.390764689e-16
550,5.500000000e-10,4.390764879e-16,-1.877373539e-23,4.390764691e-16
560,5.600000000e-10,4.390764818e-16,-1.182581981e-23,4.390764699e-16
570,5.700000000e-10,4.390764662e-16,3.757957367e-24,4.390764699e-16
580,5.800000000e-10,4.390764659e-16,1.475992429e-24,4.390764673e-16
590,5.900000000e-10,4.390764769e-16,-8.114122472e-24,4.390764688e-16
600,6.000000000e-10,4.390764707e-16,-9.697696090e-25,4.390764698e-16
610,6.100000000e-10,4.390764539e-16,1.813660138e-23,4.390764720e-16
620,6.200000000e-10,4.390764700e-16,-1.237974674e-24,4.390764688e-16
630,6.300000000e-10,4.390764762e-16,-6.325942663e-24,4.390764699e-16
640,6.400000000e-10,4.390764685e-16,1.070586284e-24,4.390764695e-16
650,6.500000000e-10,4.390764606e-16,7.202253204e-24,4.390764678e-16
660,6.600000000e-10,4.390764846e-16,-1.591084636e-23,4.390764687e-16
670,6.700000000e-10,4.390764911e-16,-2.220547190e-23,4.390764689e-16
680,6.800000000e-10,4.390764931e-16,-2.298852067e-23,4.390764701e-16
690,6.900000000e-10,4.390765165e-16,-4.756520483e-23,4.390764689e-16
700,7.000000000e-10,4.390765128e-16,-4.391516109e-23,4.390764689e-16
710,7.100000000e-10,4.390765180e-16,-4.864419726e-23,4.390764694e-16
720,7.200000000e-10,4.390765012e-16,-3.368412452e-23,4.390764675e-16
730,7.300000000e-10,4.390765236e-16,-5.367342942e-23,4.390764699e-16
740,7.400000000e-10,4.390765212e-16,-5.215742443e-23,4.390764691e-16
750,7.500000000e-10,4.390765170e-16,-4.809961763e-23,4.390764689e-16
760,7.600000000e-10,4.390765375e-16,-6.953641642e-23,4.390764680e-16
770,7.700000000e-10,4.390765388e-16,-6.895646150e-23,4.390764699e-16
780,7.800000000e-10,4.390765278e-16,-5.829073100e-23,4.390764695e-16
790,7.900000000e-10,4.390765278e-16,-5.897411432e-23,4.390764688e-16
800,8.000000000e-10,4.390765396e-16,-7.070400776e-23,4.390764689e-16
810,8.100000000e-10,4.390765423e-16,-7.339544184e-23,4.390764689e-16
820,8.200000000e-10,4.390765384e-16,-6.859452442e-23,4.390764698e-16
830,8.300000000e-10,4.390765334e-16,-6.456017872e-23,4.390764689e-16
840,8.400000000e-10,4.390765341e-16,-6.448276716e-23,4.390764696e-16
850,8.500000000e-10,4.390765275e-16,-5.798407279e-23,4.390764695e-16
860,8.600000000e-10,4.390765249e-16,-5.558092196e-23,4.390764693e-16
870,8.700000000e-10,4.390765234e-16,-5.455962638e-23,4.390764688e-16
880,8.800000000e-10,4.390765328e-16,-6.367824415e-23,4.390764691e-16
890,8.900000000e-10,4.390765248e-16,-5.526612398e-23,4.390764695e-16
900,9.000000000e-10,4.390765207e-16,-5.168634044e-23,4.390764690e-16
910,9.100000000e-10,4.390765235e-16,-5.450884716e-23,4.390764690e-16
920,9.200000000e-10,4.390765254e-16,-5.569766752e-23,4.390764697e-16
930,9.300000000e-10,4.390765176e-16,-4.884419243e-23,4.390764688e-16
940,9.400000000e-10,4.390765071e-16,-3.774037834e-23,4.390764694e-16
950,9.500000000e-10,4.390765050e-16,-3.593575582e-23,4.390764691e-16
960,9.600000000e-10,4.390765060e-16,-3.701456491e-23,4.390764689e-16
970,9.700000000e-10,4.390765042e-16,-3.434391374e-23,4.390764699e-16
980,9.800000000e-10,4.390764924e-16,-2.278053167e-23,4.390764696e-16
990,9.900000000e-10,4.390764675e-16,2.289902666e-24,4.390764698e-16
1000,1.000000000e-09,4.390765171e-16,-4.884154460e-23,4.390764683e-16
1010,1.010000000e-09,4.390765179e-16,-4.875325225e-23,4.390764691e-16
1020,1.020000000e-09,4.390765121e-16,-4.274165787e-23,4.390764694e-16
1030,1.030000000e-09,4.390765234e-16,-5.543171945e-23,4.390764680e-16
1040,1.040000000e-09,4.390765458e-16,-7.613443216e-23,4.390764697e-16
1050,1.050000000e-09,4.390765440e-16,-7.430380197e-23,4.390764697e-16
1060,1.060000000e-09,4.390765294e-16,-6.039469833e-23,4.390764691e-16
1070,1.070000000e-09,4.390765247e-16,-5.419648161e-23,4.390764705e-16
1080,1.080000000e-09,4.390765107e-16,-4.250352707e-23,4.390764682e-16
1090,1.090000000e-09,4.390765029e-16,-3.269713603e-23,4.390764702e-16
1100,1.100000000e-09,4.390764984e-16,-2.939008851e-23,4.390764690e-16
1110,1.110000000e-09,4.390764948e-16,-2.517291518e-23,4.390764696e-16
1120,1.120000000e-09,4.390765023e-16,-3.316143762e-23,4.390764691e-16
1130,1.130000000e-09,4.390764949e-16,-2.606825531e-23,4.390764688e-16
1140,1.140000000e-09,4.390765035e-16,-3.438407341e-23,4.390764691e-16
1150,1.150000000e-09,4.390765038e-16,-3.507067740e-23,4.390764688e-16
1160,1.160000000e-09,4.390765163e-16,-4.713939884e-23,4.390764692e-16
1170,1.170000000e-09,4.390765171e-16,-4.839181673e-23,4.390764687e-16
1180,1.180000000e-09,4.390765178e-16,-4.805742929e-23,4.390764697e-16
1190,1.190000000e-09,4.390765177e-16,-4.905005210e-23,4.390764687e-16
1200,1.200000000e-09,4.390765265e-16,-5.789406214e-23,4.390764686e-16
1210,1.210000000e-09,4.390765436e-16,-7.329482335e-23,4.390764703e-16
1220,1.220000000e-09,4.390765056e-16,-3.502647758e-23,4.390764706e-16
1230,1.230000000e-09,4.390765066e-16,-3.745637196e-23,4.390764691e-16
1240,1.240000000e-09,4.390765066e-16,-3.807576297e-23,4.390764685e-16
1250,1.250000000e-09,4.390765243e-16,-5.140717016e-23,4.390764729e-16
