step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa,Uext_J
0,0.000000000e+00,4.128243044e-16,-6.084787452e-22,4.128063306e-16,9.966914217e+03,2.752159984e-07,-1.736535885e-20
10,1.000000000e-11,4.128242069e-16,-6.043034026e-22,4.128063824e-16,9.966911862e+03,2.752159349e-07,-1.722013277e-20
20,2.000000000e-11,4.128220274e-16,-6.771075376e-22,4.128065534e-16,9.966859242e+03,2.752144601e-07,-1.479681762e-20
30,3.000000000e-11,4.128208447e-16,-6.803401320e-22,4.128062618e-16,9.966830690e+03,2.752136697e-07,-1.390258522e-20
40,4.000000000e-11,4.128224563e-16,-5.927490125e-22,4.128062808e-16,9.966869599e+03,2.752147712e-07,-1.558282959e-20
50,5.000000000e-11,4.128203805e-16,-5.889597723e-22,4.128065200e-16,9.966819481e+03,2.752133898e-07,-1.327156063e-20
60,6.000000000e-11,4.128177281e-16,-6.343255950e-22,4.128063107e-16,9.966755443e+03,2.752116062e-07,-1.078302025e-20
70,7.000000000e-11,4.128192069e-16,-6.758270862e-22,4.128062026e-16,9.966791146e+03,2.752125792e-07,-1.232843018e-20
80,8.000000000e-11,4.128189846e-16,-7.632965937e-22,4.128064008e-16,9.966785779e+03,2.752124043e-07,-1.182047815e-20
90,9.000000000e-11,4.128158441e-16,-8.536338073e-22,4.128064120e-16,9.966709959e+03,2.752102857e-07,-8.578510340e-21
100,1.000000000e-10,4.128161341e-16,-8.598296194e-22,4.128063308e-16,9.966716958e+03,2.752104715e-07,-8.943451401e-21
110,1.100000000e-10,4.128162931e-16,-7.767133448e-22,4.128063714e-16,9.966720799e+03,2.752106038e-07,-9.145045984e-21
120,1.200000000e-10,4.128152905e-16,-7.309204126e-22,4.128064250e-16,9.966696592e+03,2.752099493e-07,-8.134531841e-21
130,1.300000000e-10,4.128129497e-16,-7.799448048e-22,4.128064900e-16,9.966640077e+03,2.752083734e-07,-5.679745350e-21
140,1.400000000e-10,4.128135351e-16,-7.604933164e-22,4.128062676e-16,9.966654211e+03,2.752087695e-07,-6.507020063e-21
150,1.500000000e-10,4.128142524e-16,-6.977777376e-22,4.128064113e-16,9.966671530e+03,2.752092671e-07,-7.143401807e-21
160,1.600000000e-10,4.128117245e-16,-7.446913982e-22,4.128064930e-16,9.966610496e+03,2.752075680e-07,-4.486776714e-21
170,1.700000000e-10,4.128104984e-16,-8.400410764e-22,4.128063727e-16,9.966580895e+03,2.752067213e-07,-3.285666546e-21
180,1.800000000e-10,4.128117087e-16,-7.200224804e-22,4.128062690e-16,9.966610117e+03,2.752075658e-07,-4.719688376e-21
190,1.900000000e-10,4.128112714e-16,-7.291669203e-22,4.128064902e-16,9.966599558e+03,2.752072709e-07,-4.051979199e-21
200,2.000000000e-10,4.128079354e-16,-7.335874265e-22,4.128063860e-16,9.966519017e+03,2.752050459e-07,-8.158867319e-22
210,2.100000000e-10,4.128091530e-16,-7.324058172e-22,4.128062074e-16,9.966548413e+03,2.752058576e-07,-2.213197399e-21
220,2.200000000e-10,4.128094698e-16,-7.011569061e-22,4.128063353e-16,9.966556063e+03,2.752060776e-07,-2.433406645e-21
230,2.300000000e-10,4.128077416e-16,-7.477353986e-22,4.128063864e-16,9.966514337e+03,2.752049115e-07,-6.074467928e-22
240,2.400000000e-10,4.128066214e-16,-7.445082487e-22,4.128062841e-16,9.966487292e+03,2.752041656e-07,4.072678957e-22
250,2.500000000e-10,4.128070875e-16,-7.471779077e-22,4.128061801e-16,9.966498544e+03,2.752044730e-07,-1.602262661e-22
260,2.600000000e-10,4.128076563e-16,-7.711561628e-22,4.128063479e-16,9.966512279e+03,2.752048453e-07,-5.372669569e-22
270,2.700000000e-10,4.128051998e-16,-7.412368028e-22,4.128064655e-16,9.966452970e+03,2.752032189e-07,2.006984798e-21
280,2.800000000e-10,4.128040919e-16,-7.126026356e-22,4.128061849e-16,9.966426222e+03,2.752024889e-07,2.805608273e-21
290,2.900000000e-10,4.128060947e-16,-6.331725325e-22,4.128061786e-16,9.966474575e+03,2.752038373e-07,7.170634870e-22
300,3.000000000e-10,4.128045118e-16,-6.960452233e-22,4.128064938e-16,9.966436360e+03,2.752027737e-07,2.678027663e-21
310,3.100000000e-10,4.128015758e-16,-7.543703148e-22,4.128062049e-16,9.966365474e+03,2.752007994e-07,5.383449719e-21
320,3.200000000e-10,4.128040344e-16,-7.249463261e-22,4.128061022e-16,9.966424834e+03,2.752024472e-07,2.792761642e-21
330,3.300000000e-10,4.128033865e-16,-6.440824367e-22,4.128063782e-16,9.966409191e+03,2.752020383e-07,3.635767865e-21
340,3.400000000e-10,4.128012749e-16,-7.395812252e-22,4.128062747e-16,9.966358211e+03,2.752006058e-07,5.739317760e-21
350,3.500000000e-10,4.128007554e-16,-7.567805454e-22,4.128061970e-16,9.966345667e+03,2.752002516e-07,6.198433103e-21
360,3.600000000e-10,4.128023120e-16,-7.526683159e-22,4.128061819e-16,9.966383250e+03,2.752012896e-07,4.622513782e-21
370,3.700000000e-10,4.128011963e-16,-8.079107034e-22,4.128063029e-16,9.966356312e+03,2.752005285e-07,5.914513021e-21
380,3.800000000e-10,4.127989554e-16,-8.700959840e-22,4.128062672e-16,9.966302211e+03,2.751990197e-07,8.181888694e-21
390,3.900000000e-10,4.127998829e-16,-8.657307366e-22,4.128061726e-16,9.966324602e+03,2.751996335e-07,7.155439685e-21
