step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa
0,0.000000000e+00,2.068736318e-16,-1.588875447e-22,2.068734729e-16,9.989197435e+03,1.379156995e-07
10,1.000000000e-11,2.068736046e-16,-1.383904988e-22,2.068734662e-16,9.989196123e+03,1.379156880e-07
20,2.000000000e-11,2.068736246e-16,-1.560016793e-22,2.068734686e-16,9.989197091e+03,1.379156962e-07
30,3.000000000e-11,2.068736543e-16,-1.873624555e-22,2.068734670e-16,9.989198525e+03,1.379157058e-07
40,4.000000000e-11,2.068736540e-16,-1.829389606e-22,2.068734710e-16,9.989198509e+03,1.379157057e-07
50,5.000000000e-11,2.068736432e-16,-1.738982493e-22,2.068734693e-16,9.989197988e+03,1.379157026e-07
60,6.000000000e-11,2.068736607e-16,-1.924441151e-22,2.068734682e-16,9.989198832e+03,1.379157083e-07
70,7.000000000e-11,2.068736807e-16,-2.124946695e-22,2.068734682e-16,9.989199799e+03,1.379157149e-07
80,8.000000000e-11,2.068736839e-16,-2.171792730e-22,2.068734667e-16,9.989199955e+03,1.379157153e-07
90,9.000000000e-11,2.068737057e-16,-2.375954548e-22,2.068734682e-16,9.989201008e+03,1.379157235e-07
100,1.000000000e-10,2.068737240e-16,-2.570677312e-22,2.068734670e-16,9.989201892e+03,1.379157293e-07
110,1.100000000e-10,2.068737318e-16,-2.629331655e-22,2.068734689e-16,9.989202267e+03,1.379157324e-07
120,1.200000000e-10,2.068737362e-16,-2.678753749e-22,2.068734683e-16,9.989202478e+03,1.379157339e-07
130,1.300000000e-10,2.068737414e-16,-2.749974690e-22,2.068734664e-16,9.989202728e+03,1.379157352e-07
140,1.400000000e-10,2.068737732e-16,-3.071216852e-22,2.068734661e-16,9.989204265e+03,1.379157460e-07
150,1.500000000e-10,2.068737798e-16,-3.056187774e-22,2.068734741e-16,9.989204582e+03,1.379157508e-07
160,1.600000000e-10,2.068737730e-16,-3.024187366e-22,2.068734705e-16,9.989204254e+03,1.379157472e-07
170,1.700000000e-10,2.068738127e-16,-3.433949337e-22,2.068734693e-16,9.989206171e+03,1.379157603e-07
180,1.800000000e-10,2.068738400e-16,-3.694285613e-22,2.068734706e-16,9.989207492e+03,1.379157699e-07
190,1.900000000e-10,2.068738473e-16,-3.759900389e-22,2.068734713e-16,9.989207845e+03,1.379157725e-07
200,2.000000000e-10,2.068738438e-16,-3.725374969e-22,2.068734712e-16,9.989207673e+03,1.379157713e-07
210,2.100000000e-10,2.068738491e-16,-3.786888147e-22,2.068734704e-16,9.989207931e+03,1.379157728e-07
220,2.200000000e-10,2.068738761e-16,-4.063336386e-22,2.068734698e-16,9.989209236e+03,1.379157817e-07
230,2.300000000e-10,2.068738946e-16,-4.232260877e-22,2.068734714e-16,9.989210129e+03,1.379157888e-07
240,2.400000000e-10,2.068738667e-16,-3.938249541e-22,2.068734728e-16,9.989208779e+03,1.379157798e-07
250,2.500000000e-10,2.068738744e-16,-4.044623942e-22,2.068734700e-16,9.989209153e+03,1.379157812e-07
260,2.600000000e-10,2.068738999e-16,-4.293783551e-22,2.068734705e-16,9.989210384e+03,1.379157899e-07
270,2.700000000e-10,2.068738889e-16,-4.166552118e-22,2.068734723e-16,9.989209853e+03,1.379157868e-07
280,2.800000000e-10,2.068739015e-16,-4.331078712e-22,2.068734684e-16,9.989210462e+03,1.379157902e-07
290,2.900000000e-10,2.068739109e-16,-4.392471421e-22,2.068734717e-16,9.989210915e+03,1.379157941e-07
300,3.000000000e-10,2.068738962e-16,-4.235691040e-22,2.068734726e-16,9.989210205e+03,1.379157895e-07
310,3.100000000e-10,2.068738672e-16,-3.950979151e-22,2.068734721e-16,9.989208804e+03,1.379157796e-07
320,3.200000000e-10,2.068738604e-16,-3.887625756e-22,2.068734716e-16,9.989208475e+03,1.379157771e-07
330,3.300000000e-10,2.068738547e-16,-3.839302581e-22,2.068734708e-16,9.989208202e+03,1.379157748e-07
340,3.400000000e-10,2.068738700e-16,-4.002469467e-22,2.068734698e-16,9.989208940e+03,1.379157801e-07
350,3.500000000e-10,2.068738867e-16,-4.167553562e-22,2.068734699e-16,9.989209746e+03,1.379157854e-07
360,3.600000000e-10,2.068739130e-16,-4.425558620e-22,2.068734704e-16,9.989211014e+03,1.379157943e-07
370,3.700000000e-10,2.068739397e-16,-4.692327549e-22,2.068734704e-16,9.989212303e+03,1.379158036e-07
380,3.800000000e-10,2.068739366e-16,-4.651120908e-22,2.068734715e-16,9.989212156e+03,1.379158028e-07
390,3.900000000e-10,2.068739816e-16,-5.124643476e-22,2.068734691e-16,9.989214328e+03,1.379158174e-07
400,4.000000000e-10,2.068740149e-16,-5.455888403e-22,2.068734693e-16,9.989215935e+03,1.379158292e-07
410,4.100000000e-10,2.068740571e-16,-5.849918117e-22,2.068734721e-16,9.989217976e+03,1.379158479e-07
420,4.200000000e-10,2.068740149e-16,-5.436333687e-22,2.068734713e-16,9.989215938e+03,1.379158302e-07
430,4.300000000e-10,2.068740188e-16,-5.443143246e-22,2.068734745e-16,9.989216127e+03,1.379158326e-07
440,4.400000000e-10,2.068739712e-16,-4.985178623e-22,2.068734727e-16,9.989213826e+03,1.379158149e-07
450,4.500000000e-10,2.068739646e-16,-4.940116033e-22,2.068734706e-16,9.989213509e+03,1.379158121e-07
460,4.600000000e-10,2.068740117e-16,-5.400960467e-22,2.068734716e-16,9.989215783e+03,1.379158318e-07
