version,threads,N,NP,nsteps,save_stride,Lx,Ly,Lz,dt,temperature,Bz,wall_total_s,force_s,per_step_ms,pair_updates_per_s,energy_drift_pct,unix_time
serial,1,300,600,1000,10,1.000000000e-02,1.000000000e-02,1.000000000e-02,1.000000000e-12,1.000000000e+04,1.000,1.436672498e+00,1.424498426e+00,1.436672,1.261497e+08,1.832870e-06,1783741541
parallel,4,300,600,1000,10,1.000000000e-02,1.000000000e-02,1.000000000e-02,1.000000000e-12,1.000000000e+04,1.000,7.477240860e-01,7.386305807e-01,0.747724,2.432881e+08,1.832870e-06,1783741578
serial,1,1000,2000,2000,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,2.787506445e+01,2.780794516e+01,13.937532,1.437719e+08,-6.653943e-05,1783743219
serial,1,1000,2000,10000,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,1.365730626e+02,1.362459215e+02,13.657306,1.467200e+08,-4.305371e-04,1783744026
serial,1,1000,2000,3000,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,0.000,4.131197079e+01,4.121949509e+01,13.770657,1.454894e+08,9.264978e-04,1783745784
serial,1,1000,2000,10000,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,0.000,1.384953032e+02,1.381821998e+02,13.849530,1.446641e+08,2.865645e-02,1783746381
serial,1,3000,6000,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,0.000,3.204002345e+01,3.201887521e+01,128.160094,1.405187e+08,-7.286421e-02,1783974957
parallel,1,3000,6000,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,6.195543973e+01,6.193294192e+01,247.821759,7.264712e+07,-1.575933e-05,1783975019
parallel,2,3000,6000,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,3.099398691e+01,3.097915085e+01,123.975948,1.452348e+08,-1.575934e-05,1783975050
parallel,4,3000,6000,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,1.587105193e+01,1.586049903e+01,63.484208,2.836764e+08,-1.575934e-05,1783975066
parallel,8,3000,6000,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,8.268113081e+00,8.256849968e+00,33.072452,5.449112e+08,-1.575934e-05,1783975074
parallel,12,3000,6000,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,5.668546224e+00,5.664696009e+00,22.674185,7.942615e+08,-1.575934e-05,1783975080
parallel,16,3000,6000,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,4.462146655e+00,4.455652108e+00,17.848587,1.009785e+09,-1.575934e-05,1783975084
parallel,24,3000,6000,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,3.376577154e+00,3.365655505e+00,13.506309,1.336812e+09,-1.575934e-05,1783975088
parallel,32,3000,6000,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,3.663135113e+00,3.611739010e+00,14.652540,1.245730e+09,-1.575934e-05,1783975092
parallel,48,3000,6000,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,3.783182121e+00,3.321731050e+00,15.132728,1.354490e+09,-1.575934e-05,1783975095
serial,1,1200,2400,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,0.000,4.879179894e+00,4.871276622e+00,19.516720,1.477436e+08,-7.502307e-02,1783975100
parallel,1,1200,2400,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,1.007612877e+01,1.006691444e+01,40.304515,7.149162e+07,5.399057e-05,1783975110
parallel,2,1697,3394,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,1.050075393e+01,1.049101761e+01,42.003016,1.372107e+08,-6.364524e-05,1783975121
parallel,4,2400,4800,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,1.027041586e+01,1.026040744e+01,41.081663,2.806321e+08,-3.671677e-05,1783975131
parallel,8,3394,6788,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,1.040734185e+01,1.039935176e+01,41.629367,5.537624e+08,-5.980640e-05,1783975142
parallel,12,4157,8314,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,1.051575534e+01,1.050464482e+01,42.063021,8.224253e+08,-7.115703e-05,1783975152
parallel,16,4800,9600,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,1.053588855e+01,1.052317727e+01,42.143554,1.094612e+09,-3.205858e-05,1783975163
parallel,24,5879,11758,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,1.147475234e+01,1.145813690e+01,45.899009,1.508086e+09,-8.461056e-07,1783975175
parallel,32,6788,13576,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,1.853963364e+01,1.850364819e+01,74.158535,1.244986e+09,-1.150099e-05,1783975193
parallel,48,8314,16628,250,10,1.000000000e-03,1.000000000e-03,1.000000000e-03,1.000000000e-12,1.000000000e+04,1.000,2.136878530e+01,2.101029936e+01,85.475141,1.644870e+09,-2.278676e-05,1783975215
